id,lat,lon
30030172,-1.285639,36.8049416
30030180,-1.2872126,36.8135802
30030181,-1.2876027,36.814409
30030182,-1.2886941,36.812907
30030183,-1.2823981,36.8141123
30030184,-1.2866481,36.8138585
30030185,-1.285072,36.81273
30030186,-1.2864726,36.8137458
30030188,-1.2891486,36.8119769
30030191,-1.288249,36.8138123
30030207,-1.2911852,36.8131779
30030208,-1.2909949,36.8128064
30030210,-1.290964,36.8105815
30030213,-1.2917443,36.8132316
30030215,-1.2893564,36.8117081
30030218,-1.2903375,36.8141208
30030300,-1.2888268,36.8128346
30030317,-1.2883737,36.8137573
30115542,-1.2894534,36.8104654
30115543,-1.2895856,36.8105632
30118815,-1.2925301,36.8135856
30119048,-1.290303,36.8145026
30119049,-1.2902789,36.8144479
30121679,-1.2897696,36.8147342
30121682,-1.289304,36.8153052
30121683,-1.2890708,36.815682
30121684,-1.2889252,36.8155603
30121685,-1.2892533,36.816483
30121694,-1.2894244,36.8164839
30121700,-1.289048,36.8167314
30121705,-1.2890266,36.817109
30121706,-1.2894962,36.8172656
30121708,-1.2898438,36.8168148
30121709,-1.2899929,36.8167753
30121710,-1.2895573,36.817149
30121711,-1.2896686,36.8174352
30121712,-1.2900727,36.8168032
30121713,-1.2904902,36.8166666
30121721,-1.2906549,36.8166831
30121728,-1.2908485,36.8166584
30121737,-1.2910339,36.8168026
30121744,-1.2910627,36.8169797
30121752,-1.2909762,36.8171568
30121753,-1.2909144,36.8173421
30121754,-1.2908115,36.8174286
30121755,-1.2907126,36.817441
30121756,-1.290519,36.817408
30121757,-1.2903914,36.817441
30121758,-1.2901474,36.81754
30121759,-1.2899147,36.8175451
30121760,-1.289217,36.8175868
30121761,-1.2892058,36.8154812
30121762,-1.2891806,36.8164005
30121763,-1.2896994,36.8165984
30121766,-1.2895261,36.8173271
30121806,-1.2892391,36.8184827
30121807,-1.2887732,36.8183442
30121808,-1.2913034,36.8195712
30121809,-1.2926371,36.8201966
30121810,-1.292515,36.8203511
30121811,-1.2929183,36.8203136
30121812,-1.2928167,36.8205773
30121813,-1.289221,36.8178758
30121814,-1.2892371,36.8179811
30142925,-1.2914856,36.8198231
30142926,-1.2927574,36.8199264
30142927,-1.2928709,36.820019
30142928,-1.2932796,36.8206208
30142929,-1.2930543,36.8206895
30142930,-1.2923799,36.8212534
30142931,-1.2925666,36.8211521
30142932,-1.2888067,36.8185115
30142945,-1.2879433,36.8180864
30142946,-1.2881494,36.8180275
30142948,-1.2865795,36.8175848
30142949,-1.2863072,36.8174114
30142950,-1.2867695,36.8172877
30142951,-1.2864874,36.8171151
30201063,-1.2934599,36.8167607
30201067,-1.2932078,36.8165893
30214873,-1.2864604,36.8139477
30214988,-1.2844707,36.8141234
30214995,-1.2910408,36.8104409
30214996,-1.2906784,36.8211305
30214997,-1.2906749,36.8212504
30215000,-1.2905077,36.8213058
30215001,-1.2904775,36.8210875
30215002,-1.2909431,36.820565
30215008,-1.2882198,36.8199553
30215016,-1.2844689,36.8216314
30215017,-1.2851129,36.8167157
30215019,-1.2835308,36.8159258
30215020,-1.2830762,36.8172952
30215022,-1.2818321,36.815177
30215023,-1.2815465,36.8150869
30215024,-1.281943,36.8149206
30215025,-1.281653,36.8147838
30215027,-1.2853945,36.8166943
30215028,-1.2835858,36.8158011
30215029,-1.2813936,36.8134823
30215030,-1.2819962,36.8143935
30215031,-1.2821775,36.8143469
30215032,-1.2820847,36.8140602
30215033,-1.2834356,36.8141958
30215034,-1.2878601,36.8146129
30215035,-1.2879299,36.8146397
30215038,-1.2930778,36.8187085
30215712,-1.2802961,36.8144277
30215713,-1.2800508,36.8147004
30215714,-1.2757776,36.8131568
30215717,-1.275476,36.8127806
30215719,-1.280207,36.8142361
